Length,Period
20.900000000000002,30.00750187546887
21.000000000000004,30.00750187546887
21.1,30.00750187546887
21.200000000000003,30.00750187546887
21.300000000000004,30.00750187546887
21.400000000000002,30.00750187546887
21.500000000000004,30.00750187546887
21.6,30.00750187546887
21.700000000000003,30.00750187546887
21.800000000000004,30.00750187546887
21.900000000000002,30.00750187546887
22.000000000000004,30.00750187546887
22.1,30.00750187546887
22.200000000000003,30.00750187546887
22.300000000000004,30.00750187546887
22.400000000000002,30.00750187546887
22.500000000000004,30.00750187546887
22.6,30.00750187546887
22.700000000000003,30.00750187546887
22.800000000000004,30.00750187546887
22.900000000000002,30.00750187546887
23.000000000000004,30.00750187546887
23.1,30.00750187546887
23.200000000000003,30.00750187546887
23.300000000000004,30.00750187546887
23.400000000000002,30.00750187546887
